model,pruned,predicate,data,scale,threads,time
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,1,4.491441,nyc-taxi-green-dec-2016,10G,2,9.527225123019889
nyc-taxi-green-dec-2016_d10_l422_n843_20240921072444,2,4.491441,nyc-taxi-green-dec-2016,10G,2,8.492184835812077
Ailerons_d10_l740_n1479_20240921074803,0,0.0,Ailerons,10G,2,5.48751501198858
Ailerons_d10_l740_n1479_20240921074803,1,-0.00318,Ailerons,10G,2,4.162230655597523
Ailerons_d10_l740_n1479_20240921074803,2,-0.00318,Ailerons,10G,2,4.357801711605862
Ailerons_d10_l740_n1479_20240921074803,1,-0.00286,Ailerons,10G,2,4.383482925826684
Ailerons_d10_l740_n1479_20240921074803,2,-0.00286,Ailerons,10G,2,4.461663707019762
Ailerons_d10_l740_n1479_20240921074803,1,-0.00254,Ailerons,10G,2,4.337240453017875
Ailerons_d10_l740_n1479_20240921074803,2,-0.00254,Ailerons,10G,2,4.365344658214599
Ailerons_d10_l740_n1479_20240921074803,1,-0.00222,Ailerons,10G,2,4.4133648328017445
Ailerons_d10_l740_n1479_20240921074803,2,-0.00222,Ailerons,10G,2,4.40645420444198
Ailerons_d10_l740_n1479_20240921074803,1,-0.0019,Ailerons,10G,2,4.347000009613112
Ailerons_d10_l740_n1479_20240921074803,2,-0.0019,Ailerons,10G,2,4.7265401965938505
Ailerons_d10_l740_n1479_20240921074803,1,-0.00158,Ailerons,10G,2,4.6699085424188524
Ailerons_d10_l740_n1479_20240921074803,2,-0.00158,Ailerons,10G,2,4.501235826592892
Ailerons_d10_l740_n1479_20240921074803,1,-0.00126,Ailerons,10G,2,4.6510469489730895
Ailerons_d10_l740_n1479_20240921074803,2,-0.00126,Ailerons,10G,2,4.7241781982127575
Ailerons_d10_l740_n1479_20240921074803,1,-0.00094,Ailerons,10G,2,4.7810390030033885
Ailerons_d10_l740_n1479_20240921074803,2,-0.00094,Ailerons,10G,2,4.808805772801861
Ailerons_d10_l740_n1479_20240921074803,1,-0.00062,Ailerons,10G,2,4.703322203597054
Ailerons_d10_l740_n1479_20240921074803,2,-0.00062,Ailerons,10G,2,4.702959599392488
Ailerons_d10_l740_n1479_20240921074803,1,-0.0003,Ailerons,10G,2,5.12616646620445
Ailerons_d10_l740_n1479_20240921074803,2,-0.0003,Ailerons,10G,2,4.509569133399054
house_16H_d10_l424_n847_20240921084310,0,0.0,house_16H,1G,2,0.4331051419333865
house_16H_d10_l424_n847_20240921084310,1,9.963037,house_16H,1G,2,0.3835609247131894
house_16H_d10_l424_n847_20240921084310,2,9.963037,house_16H,1G,2,0.3787657890158395
house_16H_d10_l424_n847_20240921084310,1,10.310268,house_16H,1G,2,0.39199117734096944
house_16H_d10_l424_n847_20240921084310,2,10.310268,house_16H,1G,2,0.39342027662011486
house_16H_d10_l424_n847_20240921084310,1,10.6575,house_16H,1G,2,0.400938434060663
house_16H_d10_l424_n847_20240921084310,2,10.6575,house_16H,1G,2,0.42018024258626
house_16H_d10_l424_n847_20240921084310,1,11.004731,house_16H,1G,2,0.4029231120366603
house_16H_d10_l424_n847_20240921084310,2,11.004731,house_16H,1G,2,0.4273555879481137
house_16H_d10_l424_n847_20240921084310,1,11.351963,house_16H,1G,2,0.3943112047078709
house_16H_d10_l424_n847_20240921084310,2,11.351963,house_16H,1G,2,0.39393408969044685
house_16H_d10_l424_n847_20240921084310,1,11.699194,house_16H,1G,2,0.3821992453498145
house_16H_d10_l424_n847_20240921084310,2,11.699194,house_16H,1G,2,0.37747454503551126
house_16H_d10_l424_n847_20240921084310,1,12.046425,house_16H,1G,2,0.36971946774671477
house_16H_d10_l424_n847_20240921084310,2,12.046425,house_16H,1G,2,0.3637252350648244
house_16H_d10_l424_n847_20240921084310,1,12.393657,house_16H,1G,2,0.35952455596998334
house_16H_d10_l424_n847_20240921084310,2,12.393657,house_16H,1G,2,0.3575507167261094
house_16H_d10_l424_n847_20240921084310,1,12.740888,house_16H,1G,2,0.34911861332754296
house_16H_d10_l424_n847_20240921084310,2,12.740888,house_16H,1G,2,0.3500565017263095
house_16H_d10_l424_n847_20240921084310,1,13.08812,house_16H,1G,2,0.337131817980359
house_16H_d10_l424_n847_20240921084310,2,13.08812,house_16H,1G,2,0.33410934498533607
Ailerons_d10_l730_n1459_20240921085210,0,0.0,Ailerons,1G,2,0.7281665536575019
Ailerons_d10_l730_n1459_20240921085210,1,-0.002908,Ailerons,1G,2,0.6201715092950811
Ailerons_d10_l730_n1459_20240921085210,2,-0.002908,Ailerons,1G,2,0.6373347439803183
Ailerons_d10_l730_n1459_20240921085210,1,-0.002616,Ailerons,1G,2,0.579846250358969
Ailerons_d10_l730_n1459_20240921085210,2,-0.002616,Ailerons,1G,2,0.6068055189680308
Ailerons_d10_l730_n1459_20240921085210,1,-0.002324,Ailerons,1G,2,0.6116977033670992
Ailerons_d10_l730_n1459_20240921085210,2,-0.002324,Ailerons,1G,2,0.5893821463299295
Ailerons_d10_l730_n1459_20240921085210,1,-0.002032,Ailerons,1G,2,0.6070575103318939
Ailerons_d10_l730_n1459_20240921085210,2,-0.002032,Ailerons,1G,2,0.610406792567422
Ailerons_d10_l730_n1459_20240921085210,1,-0.00174,Ailerons,1G,2,0.6245970966604849
Ailerons_d10_l730_n1459_20240921085210,2,-0.00174,Ailerons,1G,2,0.6287411152540395
Ailerons_d10_l730_n1459_20240921085210,1,-0.001448,Ailerons,1G,2,0.6285155379058173
Ailerons_d10_l730_n1459_20240921085210,2,-0.001448,Ailerons,1G,2,0.6206689587173363
Ailerons_d10_l730_n1459_20240921085210,1,-0.001156,Ailerons,1G,2,0.6400639643737426
Ailerons_d10_l730_n1459_20240921085210,2,-0.001156,Ailerons,1G,2,0.6360061716598769
Ailerons_d10_l730_n1459_20240921085210,1,-0.000864,Ailerons,1G,2,0.6484051752680292
Ailerons_d10_l730_n1459_20240921085210,2,-0.000864,Ailerons,1G,2,0.646583016961813
Ailerons_d10_l730_n1459_20240921085210,1,-0.000572,Ailerons,1G,2,0.6686664892671009
Ailerons_d10_l730_n1459_20240921085210,2,-0.000572,Ailerons,1G,2,0.6358012173635265
Ailerons_d10_l730_n1459_20240921085210,1,-0.00028,Ailerons,1G,2,0.6913445769653966
Ailerons_d10_l730_n1459_20240921085210,2,-0.00028,Ailerons,1G,2,0.6570335756211231
nyc-taxi-green-dec-2016_d10_l376_n751_20240921090731,0,0.0,nyc-taxi-green-dec-2016,1G,2,1.583587806749468
